    74/119     3.12G   0.05371   0.03644         0   0.09014        23       640    0.2727     0.278    0.1959    0.0584   0.05897     0.024         0
    75/119     3.12G   0.05326   0.03634         0    0.0896        18       640    0.3277    0.2966     0.217   0.06339   0.05904   0.02425         0
    76/119     3.12G   0.05392   0.03648         0   0.09039        20       640    0.2813    0.2672    0.1972   0.05747   0.05818   0.02429         0
    77/119     3.12G   0.05198   0.03611         0   0.08808        17       640    0.3145    0.2806    0.2258   0.07266   0.05796   0.02378         0
    78/119     3.12G   0.05181   0.03493         0   0.08674        19       640    0.4155    0.2819    0.2783   0.09191    0.0579   0.02379         0
    79/119     3.12G   0.05243   0.03601         0   0.08844        28       640    0.3348    0.2978    0.2458   0.08413   0.05749   0.02401         0
    80/119     3.12G   0.05044   0.03606         0    0.0865        24       640    0.3107    0.3627    0.2705   0.08929   0.05706   0.02448         0
    81/119     3.12G   0.05165   0.03605         0   0.08769        28       640    0.3599     0.277    0.2452   0.08368   0.05961   0.02401         0
    82/119     3.12G   0.05132    0.0348         0   0.08613        25       640    0.3865      0.31    0.2801   0.09539    0.0569   0.02318         0
    83/119     3.12G   0.04977   0.03526         0   0.08503        29       640     0.448    0.3186    0.3067    0.1117   0.05754   0.02329         0
    84/119     3.12G   0.04888   0.03376         0   0.08264        30       640    0.4613    0.3309    0.3264    0.1141   0.05629   0.02347         0
    85/119     3.12G   0.04989   0.03389         0   0.08378        19       640    0.3915    0.3419    0.3022     0.113   0.05584   0.02335         0
    86/119     3.12G   0.04883   0.03341         0   0.08224        17       640    0.4556    0.3297    0.3092    0.1172   0.05463   0.02341         0
    87/119     3.12G   0.04853   0.03452         0   0.08306        22       640    0.6032    0.3395     0.385    0.1583   0.05441    0.0226         0
    88/119     3.12G   0.04774   0.03323         0   0.08097        29       640    0.6423    0.3235    0.3919    0.1569   0.05512    0.0223         0
    89/119     3.12G   0.04884   0.03369         0   0.08253        33       640    0.5119    0.3897    0.3941    0.1586   0.05434   0.02284         0
    90/119     3.12G   0.04812    0.0339         0   0.08202        28       640    0.5611    0.4252    0.4392    0.1807   0.05325   0.02215         0
    91/119     3.12G   0.04741   0.03351         0   0.08092        28       640    0.5301    0.4596     0.452    0.1946   0.05407   0.02189         0
    92/119     3.12G   0.04587   0.03208         0   0.07794        24       640    0.6164    0.4215    0.4513     0.186   0.05352   0.02207         0
    93/119     3.12G    0.0463   0.03301         0   0.07931        23       640    0.5876    0.4314    0.4597    0.2004   0.05318   0.02201         0
    94/119     3.12G   0.04645   0.03246         0    0.0789        27       640    0.5754    0.4617    0.4785    0.2084   0.05309   0.02179         0
    95/119     3.12G   0.04554   0.03123         0   0.07677        17       640    0.5956       0.5    0.4921    0.2224   0.05242   0.02188         0
    96/119     3.12G   0.04556   0.03119         0   0.07675        26       640    0.5967    0.4216    0.4474    0.1899   0.05245   0.02191         0
    97/119     3.12G   0.04543   0.03211         0   0.07754        24       640    0.6379    0.4664    0.4951    0.2175   0.05108   0.02176         0
    98/119     3.12G   0.04422   0.03111         0   0.07532        34       640    0.7016    0.4581    0.5047    0.2234   0.05339   0.02182         0
    99/119     3.12G   0.04428   0.03189         0   0.07617        23       640    0.5718    0.4473    0.4525    0.1955   0.05357   0.02244         0
   100/119     3.12G   0.04448   0.03123         0   0.07571        34       640    0.7353    0.4669    0.5259    0.2507   0.05183   0.02117         0
   101/119     3.12G   0.04381   0.03093         0   0.07474        30       640    0.7465    0.4975    0.5516    0.2748    0.0504    0.0211         0
   102/119     3.12G   0.04372   0.03083         0   0.07455        18       640     0.694    0.4725    0.5237    0.2436   0.05125   0.02153         0
   103/119     3.12G   0.04344   0.03006         0    0.0735        34       640    0.6531    0.5169     0.538    0.2632   0.05129   0.02109         0
   104/119     3.12G   0.04252   0.02943         0   0.07195        15       640    0.7621     0.473    0.5495    0.2652   0.05042   0.02114         0
   105/119     3.12G   0.04339   0.03035         0   0.07373        32       640    0.7339    0.4936     0.546    0.2716   0.04942   0.02156         0
   106/119     3.12G   0.04232   0.02963         0   0.07195        18       640    0.7768    0.5245    0.5826     0.306   0.04865   0.02044         0
   107/119     3.12G   0.04214   0.03007         0   0.07221        20       640    0.7138    0.5196    0.5582    0.2919   0.04982     0.021         0
   108/119     3.12G   0.04149   0.02962         0   0.07111        25       640    0.8094    0.5049    0.5823      0.31   0.04986   0.02079         0
   109/119     3.12G   0.04163    0.0286         0   0.07024        19       640     0.744    0.5377    0.5827    0.2914   0.05002   0.02055         0
   110/119     3.12G   0.04127   0.02889         0   0.07016        28       640    0.7574    0.5548    0.5979    0.3249   0.05004   0.02006         0
   111/119     3.12G   0.04056   0.02987         0   0.07044        21       640    0.7522    0.5453    0.5879    0.3123   0.04967   0.02081         0
   112/119     3.12G   0.04083   0.02853         0   0.06936        22       640    0.8207    0.5233    0.5937    0.3183   0.04947   0.02054         0
   113/119     3.12G   0.04038   0.02858         0   0.06895        27       640    0.7892     0.546    0.5991    0.3255   0.04906    0.0204         0
   114/119     3.12G   0.04022   0.02806         0   0.06828        29       640    0.8266    0.5392     0.596    0.3265    0.0496   0.02002         0
   115/119     3.12G   0.04103   0.02808         0   0.06912        19       640     0.856    0.5466    0.6063    0.3447   0.04922   0.01984         0
   116/119     3.12G   0.03984   0.02773         0   0.06757        37       640     0.813    0.5647     0.613    0.3466     0.049    0.0198         0
   117/119     3.12G   0.04015   0.02868         0   0.06883        22       640    0.7565    0.5674    0.5883    0.3316   0.04859   0.02063         0
   118/119     3.12G   0.03921   0.02886         0   0.06808        34       640    0.7837    0.5711    0.6119     0.338   0.04879   0.01997         0
   119/119     3.12G   0.03944   0.02793         0   0.06737        21       640    0.8298     0.565    0.6164    0.3594   0.04835   0.01974         0
